Data,godzina,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-27,15:00:00,213,214,211,213,506
2023-12-27,15:30:00,213,214,211,213,506
2023-12-27,16:30:00,214,215,213,214,1660
2023-12-27,17:00:00,214,215,213,214,1660
2023-12-28,09:30:00,215,215,214,215,96
2023-12-28,10:00:00,215,216,214,216,667
2023-12-28,10:30:00,217,219,216,219,631
2023-12-28,11:00:00,219,219,215,217,322
2023-12-28,11:30:00,217,217,216,217,174
2023-12-28,12:00:00,215,220,215,219,1264
2023-12-28,12:30:00,219,219,218,218,66
2023-12-28,13:00:00,218,219,218,219,25
2023-12-28,13:30:00,218,220,218,218,502
2023-12-28,14:00:00,218,218,216,216,25
2023-12-28,14:30:00,218,218,217,218,115
2023-12-28,15:00:00,218,220,218,218,59
2023-12-28,15:30:00,218,218,217,217,29
2023-12-28,16:00:00,217,218,217,218,55
2023-12-28,16:30:00,218,218,217,217,104
2023-12-28,17:00:00,219,220,219,220,1183
2023-12-29,09:30:00,220,222,220,220,257
2023-12-29,10:00:00,223,223,220,221,144
2023-12-29,10:30:00,221,221,220,221,47
2023-12-29,11:00:00,221,221,221,221,9
2023-12-29,11:30:00,220,222,220,221,113
2023-12-29,12:00:00,221,223,221,223,407
2023-12-29,12:30:00,223,223,220,223,266
2023-12-29,13:00:00,221,221,220,220,132
2023-12-29,13:30:00,220,220,219,219,57
2023-12-29,14:00:00,216,216,216,216,1
2023-12-29,14:30:00,217,217,213,213,406
2023-12-29,15:00:00,216,216,213,213,85
2023-12-29,15:30:00,212,215,211,211,290
2023-12-29,16:00:00,212,212,212,212,59
2023-12-29,16:30:00,213,213,210,210,528
2023-12-29,17:00:00,210,211,208,208,1531
2024-01-02,09:30:00,210,213,210,210,353
2024-01-02,10:00:00,213,214,211,211,58
2024-01-02,10:30:00,211,211,210,211,34
2024-01-02,11:00:00,211,211,209,209,24
2024-01-02,11:30:00,208,211,208,211,138
2024-01-02,12:00:00,212,212,210,210,40
2024-01-02,12:30:00,213,215,213,214,499
2024-01-02,13:00:00,214,214,211,211,122
2024-01-02,13:30:00,210,211,210,211,72
2024-01-02,14:00:00,210,210,210,210,310
2024-01-02,14:30:00,209,209,208,209,109
2024-01-02,15:00:00,209,209,209,209,2
2024-01-02,15:30:00,208,210,208,209,38
2024-01-02,16:00:00,209,210,208,208,259
2024-01-02,16:30:00,208,208,208,208,12
2024-01-02,17:00:00,207,208,207,207,53
2024-01-03,09:30:00,206,210,206,207,285
2024-01-03,10:00:00,207,207,207,207,71
2024-01-03,10:30:00,206,208,206,206,51
2024-01-03,11:00:00,206,206,206,206,2
2024-01-03,11:30:00,206,207,201,201,729
2024-01-03,12:00:00,201,202,201,202,298
2024-01-03,12:30:00,202,203,200,200,436
2024-01-03,13:00:00,200,201,200,200,150
2024-01-03,13:30:00,200,201,200,200,236
2024-01-03,14:00:00,201,201,201,201,28
2024-01-03,14:30:00,199.5,201,199,201,127
2024-01-03,15:30:00,199,199,199,199,39
2024-01-03,16:00:00,201,203,200,203,260
2024-01-03,16:30:00,203,204,202,202,50
2024-01-03,17:00:00,203,203,202,203,230
2024-01-04,09:30:00,203,203,203,203,6
2024-01-04,10:30:00,203,204,202,202,93
2024-01-04,11:00:00,201,201,201,201,130
2024-01-04,11:30:00,203,203,201,201,37
2024-01-04,12:00:00,202,202,202,202,118
2024-01-04,12:30:00,202,202,201,201,78
2024-01-04,13:00:00,201,201,201,201,15
2024-01-04,13:30:00,202,202,202,202,5
2024-01-04,14:00:00,201,201,200,200,89
2024-01-04,14:30:00,200,200,200,200,21
2024-01-04,15:00:00,200,200,200,200,123
2024-01-04,15:30:00,199.5,199.5,199,199,132
2024-01-04,16:00:00,199.5,199.5,199.5,199.5,18
2024-01-04,16:30:00,199,203,199,203,263
2024-01-04,17:00:00,200,200,200,200,106
2024-01-05,09:30:00,200,200,195.5,196.5,362
2024-01-05,10:00:00,197,197,195.5,195.5,320
2024-01-05,10:30:00,195.5,196,195.5,195.5,319
2024-01-05,11:00:00,196,198,195.5,198,539
2024-01-05,11:30:00,198,198,197,197,162
2024-01-05,12:00:00,198,199,197.5,197.5,84
2024-01-05,12:30:00,197.5,199,197.5,198,111
2024-01-05,13:00:00,198,198,198,198,91
2024-01-05,13:30:00,198,198,197.5,198,32
2024-01-05,14:00:00,197.5,197.5,197.5,197.5,74
2024-01-05,14:30:00,197.5,197.5,197.5,197.5,17
2024-01-05,15:00:00,197.5,198.5,197.5,198.5,95
2024-01-05,15:30:00,198.5,202,198.5,202,1271
2024-01-05,16:00:00,203,203,203,203,23
2024-01-05,16:30:00,203,207,203,207,88
2024-01-05,17:00:00,207,207,206,207,288
2024-01-08,09:30:00,207,208,203,203,203
2024-01-08,10:00:00,203,203,201,202,157
2024-01-08,10:30:00,202,203,202,203,18
2024-01-08,12:00:00,201,201,199,199,841
2024-01-08,12:30:00,199,200,199,200,187
2024-01-08,13:00:00,201,201,201,201,40
2024-01-08,13:30:00,201,201,200,200,971
2024-01-08,14:00:00,200,201,200,201,1975
2024-01-08,14:30:00,203,203,202,202,17
2024-01-08,15:00:00,202,202,202,202,2
2024-01-08,15:30:00,203,204,203,204,100
2024-01-08,16:00:00,203,203,203,203,3010
2024-01-08,16:30:00,204,205,204,205,95
2024-01-08,17:00:00,205,207,205,207,89
2024-01-09,09:30:00,207,208,206,206,82
2024-01-09,10:00:00,208,208,205,205,26
2024-01-09,10:30:00,206,206,205,206,85
2024-01-09,11:00:00,206,211,206,211,402
2024-01-09,11:30:00,210,211,210,210,317
2024-01-09,12:00:00,210,213,210,213,256
2024-01-09,12:30:00,212,213,210,210,42
2024-01-09,13:00:00,213,215,211,211,5068
2024-01-09,13:30:00,213,213,211,212,54
2024-01-09,14:00:00,212,212,212,212,70
2024-01-09,14:30:00,212,212,212,212,51
2024-01-09,15:00:00,213,213,213,213,5
2024-01-09,15:30:00,211,215,211,215,4572
2024-01-09,16:30:00,214,214,212,213,122
2024-01-09,17:00:00,213,214,213,213,81
2024-01-10,09:30:00,213,213,210,210,32
2024-01-10,10:00:00,211,211,211,211,33
2024-01-10,10:30:00,211,212,211,212,19
2024-01-10,11:00:00,212,212,211,211,24
2024-01-10,11:30:00,213,213,213,213,23
2024-01-10,12:00:00,211,211,211,211,50
2024-01-10,12:30:00,211,211,211,211,50
2024-01-10,13:30:00,212,213,212,213,127
2024-01-10,14:00:00,212,212,212,212,30
2024-01-10,14:30:00,211,212,211,212,20
2024-01-10,15:00:00,212,212,211,211,3
2024-01-10,15:30:00,211,211,211,211,34
2024-01-10,16:00:00,211,211,211,211,67
2024-01-10,16:30:00,211,212,211,212,31
2024-01-10,17:00:00,212,212,211,211,125
2024-01-11,09:30:00,210,210,208,208,74
2024-01-11,10:00:00,208,210,208,210,20
2024-01-11,10:30:00,210,210,210,210,8
2024-01-11,11:00:00,210,213,210,213,460
2024-01-11,11:30:00,212,212,211,212,275
2024-01-11,12:00:00,212,213,211,211,72
2024-01-11,13:00:00,212,212,211,211,12
2024-01-11,13:30:00,211,211,209,210,495
2024-01-11,14:00:00,211,211,211,211,17
2024-01-11,14:30:00,210,212,210,212,8
2024-01-11,15:00:00,211,211,211,211,21
2024-01-11,15:30:00,211,211,211,211,21
2024-01-11,16:00:00,210,212,210,212,46
2024-01-11,16:30:00,210,212,208,208,1525
2024-01-11,17:00:00,209,212,209,212,186
2024-01-12,09:30:00,212,213,210,212,27
