Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-09,176.534,184.019,176.078,184.019,41783.480538233
2020-04-14,184.95,186.347,182.148,186.347,1634.9554102113
2020-04-15,186.812,186.812,182.613,185.881,1302.2793576506
2020-04-16,184.019,184.019,176.534,184.019,5432.305162067
2020-04-17,186.812,187.752,184.95,186.812,1538.1003569341
2020-04-20,189.623,191.485,188.683,189.623,21584.99084067
2020-04-21,187.752,189.623,184.019,185.881,587.44695357237
2020-04-22,188.683,189.623,184.95,189.623,1608.6361022555
2020-04-23,190.544,192.425,187.752,192.425,3657.3310335312
2020-04-24,191.485,193.356,191.485,193.356,596.92190443644
2020-04-27,194.296,196.158,193.356,196.158,1741.2854143525
2020-04-28,197.089,200.823,189.623,193.356,1498.0950088414
2020-04-29,197.089,205.496,197.089,198.03,2950.9208079988
2020-04-30,205.496,205.496,191.485,193.356,1317.0181701058
2020-05-04,191.485,192.425,187.752,191.485,1257.0101479667
2020-05-05,200.823,200.823,191.485,199.892,931.70350163359
2020-05-06,202.693,202.693,193.356,195.218,6312.4228201074
2020-05-07,197.089,201.762,194.296,198.03,1364.3929244261
2020-05-08,198.961,201.762,196.158,196.158,1415.9787680194
2020-05-11,198.03,198.03,194.296,195.218,10476.137338707
2020-05-12,197.089,197.089,195.218,196.158,11515.2236168
2020-05-13,196.158,196.158,187.752,190.544,1170.6828178718
2020-05-14,190.544,190.544,188.683,188.683,512.70011897803
2020-05-15,188.683,192.425,180.742,188.683,1546.5225354799
2020-05-18,192.425,195.218,190.544,190.544,14140.837778466
2020-05-19,193.356,193.356,187.752,189.623,1119.0969742785
2020-05-20,189.623,190.544,186.347,186.347,1121.202518915
2020-05-21,186.347,190.544,186.347,189.623,317.93724010547
2020-05-22,188.683,191.485,186.347,189.623,639.03279716564
2020-05-25,190.544,192.425,189.623,192.425,647.45497571148
2020-05-26,192.425,192.425,190.544,191.485,34119.298061518
2020-05-27,191.485,192.425,190.544,191.485,22577.755136761
2020-05-28,191.485,193.356,189.623,191.485,1245.4296524661
2020-05-29,191.485,191.485,187.752,190.544,441.11160133839
2020-06-01,190.544,195.218,186.347,191.485,1716.018878715
2020-06-02,190.544,194.296,186.347,191.485,1610.741646892
2020-06-03,192.425,195.218,186.812,186.812,2629.8252509387
2020-06-04,187.752,188.683,186.347,186.812,929.59795699713
2020-06-05,186.812,192.425,186.812,192.425,22835.684354728
2020-06-08,193.356,193.356,187.752,187.752,347.41486501591
2020-06-09,187.752,191.485,186.812,186.812,21816.600750681
2020-06-10,191.485,191.485,186.812,191.485,673.77428366723
2020-06-12,185.881,191.485,183.079,189.623,577.9720027083
2020-06-15,186.812,187.752,183.079,185.416,5985.0106291378
2020-06-16,185.416,186.812,184.019,186.812,17109.655715875
2020-06-17,186.347,187.752,185.416,186.347,592.71081516352
2020-06-18,185.881,187.752,185.416,187.752,4267.9389781046
2020-06-19,187.752,187.752,184.95,186.812,1577.0529327086
2020-06-22,186.812,189.623,186.347,186.347,794.84310026368
2020-06-23,186.347,189.623,186.347,188.683,1106.4637064598
2020-06-24,188.683,189.623,187.752,188.683,195.81565119079
2020-06-25,186.812,190.544,186.812,190.544,4709.050579443
2020-06-26,190.544,198.03,188.683,191.485,14066.090943871
2020-06-29,191.485,195.218,188.683,194.296,612.71348920989
2020-06-30,194.296,197.089,191.485,196.158,22712.509993495
2020-07-01,195.218,202.693,192.425,202.693,23223.104567837
2020-07-02,201.762,203.624,198.961,203.624,891.69815354085
2020-07-03,206.445,206.445,198.001,200.813,790.63201099076
2020-07-06,204.565,206.445,200.813,206.445,1717.0716510332
2020-07-07,206.445,210.197,200.813,200.813,764.31270303501
2020-07-08,198.941,204.565,197.061,197.061,995.92261304562
2020-07-09,200.813,200.813,196.12,198.001,17491.812067392
2020-07-10,198.001,202.693,190.488,190.488,6313.4755924256
2020-07-13,192.368,194.249,192.368,193.309,141.07149064283
2020-07-14,194.249,194.249,188.616,189.557,885.38151963147
2020-07-15,189.557,195.179,189.557,192.368,289.51238751326
2020-07-16,195.179,196.12,193.309,193.309,535.86110997909
2020-07-17,196.12,205.505,194.249,204.565,1911.8345299058
2020-07-20,205.505,205.505,199.872,202.693,223.18773146477
2020-07-21,202.693,208.317,202.693,208.317,1387.5539154272
2020-07-22,208.317,209.257,199.872,199.872,463.21982002122
2020-07-23,202.693,209.257,195.179,206.445,2097.1224579143
2020-07-24,204.565,205.505,199.872,201.753,237.92654391999
2020-07-27,205.505,205.505,199.872,204.565,396.89516397273
2020-07-28,204.565,204.565,199.872,200.813,9281.2407575161
2020-07-29,201.753,206.445,198.941,202.693,2149.7610738258
2020-07-30,202.693,206.445,202.693,202.693,2878.2795180409
2020-07-31,205.505,209.257,198.941,204.565,3367.8186460179
2020-08-03,210.197,210.197,191.428,198.941,5851.3085447226
2020-08-04,196.12,199.872,196.12,197.061,1617.0582808013
2020-08-05,198.001,201.753,197.061,200.813,30709.36852277
2020-08-06,199.872,206.445,198.941,202.693,2456.1178184307
2020-08-07,200.813,200.813,191.428,194.249,4092.1260009602
2020-08-10,197.061,198.001,196.12,198.001,65.271883730263
2020-08-11,198.941,199.872,197.061,199.872,430.58387815609
2020-08-12,200.813,203.624,200.813,200.813,4405.8521517927
2020-08-13,203.624,203.624,200.813,200.813,22136.643535423
2020-08-14,203.624,203.624,198.941,201.753,180.02406641734
2020-08-17,202.693,217.701,198.941,211.138,3879.4659926777
2020-08-18,212.078,213.949,208.317,212.078,2362.4210821082
2020-08-19,212.078,213.009,210.197,210.197,759.04884144386
2020-08-20,211.138,212.078,209.257,209.257,193.71010655433
2020-08-21,209.257,212.078,209.257,211.138,1716.018878715
2020-08-24,212.078,212.078,206.445,207.386,832.74290371997
2020-08-25,207.386,209.257,205.505,207.386,4153.1867954175
2020-08-26,205.505,206.445,203.624,204.565,234.7682269653
2020-08-27,204.565,209.257,204.565,207.386,322.14832937839
2020-08-28,207.386,213.009,207.386,208.317,571.65536879891
2020-08-31,208.317,210.197,198.001,200.813,1490.7256026137
2020-09-01,200.813,204.565,200.813,200.813,583.23586429945
2020-09-02,202.693,211.138,202.693,208.317,569.54982416245
2020-09-03,208.317,208.317,201.753,202.693,529.54447606971
2020-09-04,202.693,202.693,193.309,198.001,625.34675702865
2020-09-07,198.941,202.693,198.941,201.753,423.21447192848
2020-09-08,201.753,204.565,196.12,198.001,1641.2720441206
2020-09-09,198.001,198.941,197.061,198.941,407.42288715503
2020-09-10,199.872,199.872,199.872,199.872,16.844357091681
2020-09-11,200.813,200.813,199.872,200.813,155.81030309805
2020-09-14,201.753,204.565,199.872,201.753,268.45694114866
2020-09-15,204.565,204.565,201.753,201.753,62.113566775573
2020-09-16,201.753,201.753,198.001,201.753,163.17970932566
2020-09-17,199.872,200.813,197.061,200.813,348.46763733415
2020-09-18,201.753,201.753,192.368,193.309,1455.9841161122
2020-09-21,196.12,198.001,191.428,192.368,848.53448849342
2020-09-22,192.368,197.061,182.984,188.616,3452.0404314763
2020-09-23,189.557,192.368,188.616,190.488,800.10696185483
2020-09-24,188.616,188.616,185.33,187.676,1692.8578877139
2020-09-25,187.676,189.557,186.27,186.736,775.89319853554
2020-09-28,191.428,192.368,190.488,191.428,911.70082758722
2020-09-29,194.249,207.386,194.249,202.693,1399.1344109277
2020-09-30,202.693,204.565,200.813,200.813,436.90051206547
2020-10-01,206.445,206.445,189.557,189.557,1228.5852953745
2020-10-02,190.488,195.179,190.488,192.368,844.3233992205
2020-10-05,201.753,203.624,195.179,196.12,685.35477916776
2020-10-06,195.179,198.941,195.179,195.179,1272.8017327401
2020-10-07,196.12,198.001,193.309,195.179,593.76358748175
2020-10-08,195.179,195.179,191.428,191.428,1151.7329161437
2020-10-09,191.428,193.309,187.676,188.616,659.03547121201
2020-10-12,188.616,194.249,185.795,187.676,3666.8059843952
2020-10-13,187.676,190.488,187.21,190.488,735.8878504428
2020-10-14,190.488,191.428,187.21,187.21,1465.4590669762
2020-10-15,189.557,190.488,184.389,184.389,1244.3768801479
2020-10-16,184.389,188.616,183.924,184.864,13192.28991974
2020-10-19,186.736,187.21,183.924,184.864,10615.103284713
2020-10-20,187.676,192.368,185.33,185.33,6974.6166082741
2020-10-21,190.488,190.488,184.864,186.736,41207.614080161
2020-10-22,187.676,188.616,185.795,187.676,1205.4243043734
2020-10-23,187.676,190.488,184.864,187.676,328.46496328777
2020-10-26,188.616,188.616,185.33,187.21,6790.3814525838
2020-10-27,186.736,190.488,185.33,187.21,1278.0655943313
2020-10-28,187.21,188.616,179.232,179.232,5442.8328852493
2020-10-29,178.767,184.389,171.727,184.389,1879.1985880406
2020-10-30,182.043,182.984,178.767,181.112,4739.5809766717
2020-11-02,178.291,185.795,178.291,185.795,846.42894385696
2020-11-03,185.795,186.736,185.795,186.736,665.35210512139
2020-11-04,186.736,186.736,182.984,185.795,849.58726081165
2020-11-05,185.33,186.27,185.33,185.795,389.52575774512
2020-11-06,185.795,187.676,184.864,187.676,898.01478745023
2020-11-09,189.557,193.309,187.21,192.368,1108.5692510962
2020-11-10,193.309,197.061,190.488,190.488,1275.9600496948
2020-11-12,194.249,194.249,190.488,192.368,497.96130652281
2020-11-13,192.368,192.368,189.557,189.557,461.11427538476
2020-11-16,195.179,195.179,190.488,192.368,1798.1351195369
2020-11-17,192.368,192.368,185.795,186.27,627.45230166511
2020-11-18,189.557,190.488,184.864,184.864,1753.9186821713
2020-11-19,184.864,188.616,183.458,183.458,483.22249406759
2020-11-20,187.676,187.676,182.518,182.518,987.50043449978
2020-11-23,183.924,183.924,182.043,182.043,1246.4824247844
2020-11-24,183.924,185.795,181.578,182.043,1261.2212372396
2020-11-25,182.518,183.924,179.697,180.172,2979.345660591
2020-11-26,179.697,182.984,179.697,182.984,1455.9841161122
2020-11-27,182.984,186.27,182.984,185.33,1203.3187597369
2020-11-30,186.27,186.27,180.637,180.637,622.18844007396
2020-12-01,182.043,182.984,180.172,182.043,437.9532843837
2020-12-02,182.043,185.795,182.043,185.795,302.14565533202
2020-12-03,185.795,186.736,182.984,186.736,402.15902556388
2020-12-04,186.736,186.736,183.924,186.736,402.15902556388
2020-12-07,185.795,185.795,181.578,183.924,674.82705598546
2020-12-08,183.924,183.924,181.578,182.984,399.00070860919
2020-12-09,183.924,185.795,183.924,185.33,2030.7978018658
2020-12-10,184.389,185.33,181.112,181.578,489.53912797697
2020-12-11,183.458,183.458,181.112,182.984,958.02280958934
2020-12-14,185.33,185.33,180.172,181.112,752.73220753448
2020-12-15,182.518,182.984,180.637,180.637,2810.9020896742
2020-12-16,181.112,187.676,181.112,186.27,2342.4184080619
2020-12-17,186.736,186.736,183.458,183.458,1164.3661839624
2020-12-18,186.736,186.736,174.539,174.539,2637.1946571663
2020-12-21,179.232,182.984,178.291,181.578,1109.6220234145
2020-12-22,181.578,182.043,180.637,181.112,473.74754320352
